,STT,Năm,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú,Unnamed: 7
18,2019,"Quản trị doanh nghiệp
7340101",20.0,,,"Môn Toán (A00, D01, D90); môn Văn (D78) hệ số 2",
19,2019,"Quản trị dịch vụ du lịch và lữ hành
7810103",18.0,,,Môn Tiếng Anh hệ số 2,
20,2019,"Quản lý giáo dục
7140114",18.0,,,Môn Ngữ văn hệ số 2,
21,2019,"Quản lý công
7340403",19.75,,,,
22,2019,"Quản trị khách sạn
7810201",18.0,,,Môn Tiếng Anh hệ số 2,
23,2019,"Sư phạm Lịch sử
7140218",23.5,,,"Môn Lịch Sử (C00, D14, C19); môn KHXH (D78) hệ số 2",
24,2019,"Sư phạm Địa lý (cao đẳng)
51140219",22.25,,,"Môn Địa lý (C00, D15); môn KHXH(C15, D78) hệ số 2",
25,2019,"Sư phạm Ngữ văn (cao đẳng)
51140217",,,,,
26,2019,"Sư phạm Hóa học (CĐ)
SI 140212",21.5,,,"Môn Hoá (A00, B00, D07); môn KHTN (D90) hệ số 2",
27,2019,"Sư phạm Toán học
7140209",24.0,,,Môn Toán hệ số 2,
28,2019,"Sư nham Tin học (CĐ)
SI 140210",24.5,,,Môn Toán hệ số 2,
29,2019,"Sư phạm Tiếng Anh (CĐ)
SI 140231",21.25,,,Môn Tiếng Anh hệ số 2,
30,2019,"Sư phạm Ngữ văn
7140217",25.5,,,Môn Ngữ văn hệ số 2,
31,2019,"Sư phạm Toán học (Toán - Tin)
51140209",,,,,
32,2019,"Sư phạm Vật lý
7140211",24.0,,,"Môn Lý (A00, A01, A02); môn KHTN (D90) hệ số 2",
33,2019,"Sư phạm Tiếng Anh
51140213",20.0,,,"Môn Sinh học (A02, B00, D08); môn KHTN (D90) hệ số 2",
STT,Năm,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú,Unnamed: 7
2,2018,"Công nghệ thông tin
7480201",23.93,,,TTNV ≤4,
3,2018,"Công nghệ kỹ thuật Môi trường
7510406",20.52,,,TTNV ≤4,
4,2018,"Công tác xã hội
7760101",22.25,,,TTNV ≤5,
5,2018,"ĐH Toán ứng dụng
7460112",20.95,,,TTNV ≤8,
6,2018,"Du lịch
7310630",22.58,,,TTNV ≤9,
7,2018,"Giáo dục Tiểu học
51140202",22.2,,,TTNV ≤3,
8,2018,"Giáo dục Công dân
7140204",22.58,,,TTNV ≤5,
9,2018,"Giáo dục Mầm non
7140201",37.58,,,TTNV ≤ 1,
10,2018,"Giáo dục Thể chất
51140206",27.42,,,TTNV ≤1,
11,2018,"Giáo dục Mầm non
51140201",29.52,,,TTNV ≤1,
12,2018,"Giáo dục Đặc biệt
7140203",21.58,,,TTNV ≤ 1,
13,2018,"Giáo dục Tiểu học
7140202",25.25,,,TTNV ≤ 8,
14,2018,"Logistics và Quản lý chuỗi cung ứng
7510605",23.83,,,TTNV ≤1,
15,2018,"Luật
738101",29.28,,,TTNV ≤2,
16,2018,"Ngôn ngữ Trung Quốc
7220204",27.02,,,TTNV ≤2,
17,2018,"Ngôn ngữ Anh
7220201",27.8,,,TTNV ≤1,
18,2018,"Quản trị dịch vụ du lịch và lữ hành
7810103",30.42,,,TTNV ≤2,
19,2018,"Quản trị doanh nghiệp
7340101",25.85,,,TTNV ≤5,
20,2018,"Quản lý giáo dục
7140114",21.25,,,TTNV ≤ 4,
21,2018,"Quản trị khách sạn
7810201",30.75,,,TTNV ≤2,
22,2018,"Sư phạm Địa lý (cao đẳng)
51140219",20.5,,,TTNV ≤ 3,
23,2018,"Sư phạm Tiếng Anh
51140213",22.83,,,TTNV ≤4,
24,2018,"Sư phạm Toán học (Toán - Tin)
51140209",20.68,,,TTNV ≤4,
25,2018,"Sư phạm Vật lý
7140211",23.03,,,TTNV ≤2,
26,2018,"Sư phạm Tiếng Anh (CĐ)
SI 140231",25.05,,,TTNV ≤ 5,
27,2018,"Sư phạm Toán học
7140209",26.58,,,TTNV ≤1,
28,2018,"Sư phạm Ngữ văn (cao đẳng)
51140217",24.47,,,TTNV ≤ 4,
29,2018,"Sư phạm Hóa học (CĐ)
SI 140212",21.23,,,TTNV ≤2,
30,2018,"Sư phạm Lịch sử
7140218",21.33,,,TTNV ≤1,
31,2018,"Sư nham Tin học (CĐ)
SI 140210",20.23,,,TTNV ≤2,
32,2018,"Sư phạm Ngữ văn
7140217",28.67,,,TTNV ≤1,
STT,Năm,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú,Unnamed: 7
2,2017,"Công nghệ thông tin
7480201",18.92,,,,
3,2017,"Công nghệ kỹ thuật Môi trường
7510406",20.0,,,,
4,2017,"Công tác xã hội
7760101",20.92,,,,
5,2017,"ĐH Toán ứng dụng
7460112",26.17,,,,
6,2017,"Du lịch
7310630",21.42,,,,
7,2017,"Giáo dục Thể chất
51140206",26.25,,,,
8,2017,"Giáo dục Công dân
7140204",26.0,,,,
9,2017,"Giáo dục Mầm non
7140201",36.75,,,,
10,2017,"Giáo dục Tiểu học
51140202",25.5,,,,
11,2017,"Giáo dục Đặc biệt
7140203",20.0,,,,
12,2017,"Giáo dục Mầm non
51140201",29.58,,,,
13,2017,"Giáo dục Tiểu học
7140202",29.42,,,,
14,2017,"Logistics và Quản lý chuỗi cung ứng
7510605",20.0,,,,
15,2017,"Ngành Luật
7380101",21.25,,,,
16,2017,"Ngôn ngữ Anh
7220201",28.5,,,,
17,2017,"Ngôn ngữ Trung Quốc
7220204",26.17,,,,
18,2017,"Quản trị doanh nghiệp
7340101",20.0,,,,
19,2017,"Quản trị khách sạn
7810201",21.0,,,,
20,2017,"Quản trị dịch vụ du lịch và lữ hành
7810103",19.5,,,,
21,2017,"Quản lý giáo dục
7140114",21.0,,,,
22,2017,"Sư phạm Ngữ văn (cao đẳng)
51140217",,,,,
23,2017,"Sư phạm Tiếng Anh
51140231",,,,,
24,2017,"Sư phạm Vật lý
7140211",28.67,,,,
25,2017,"Sư phạm Địa lý (cao đẳng)
51140219",,,,,
26,2017,"Sư phạm Toán học
7140209",25.75,,,,
27,2017,"Sư phạm Lịch sử
7140218",20.17,,,,
28,2017,"Sư phạm Ngữ văn
7140217",20.92,,,,
STT,Năm,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú,Unnamed: 7
2,2016,"Giáo dục Tiểu học
7140202",34.5,,,,
3,2016,"Giáo dục Thể chất
51140206",15.0,,,,
4,2016,"Giáo dục Mầm non
51140201",10.0,,,,
5,2016,"Giáo dục Mầm non
7140201",25.0,,,,
6,2016,"Giáo dục Tiểu học
51140202",20.0,,,,
7,2016,"Giáo dục Công dân
7140204",19.0,,,,
8,2016,"Ngôn ngữ Trung Quốc
7220204",18.0,,,,
9,2016,"Ngôn ngữ Anh
7220201",20.0,,,,
10,2016,"Quản lý giáo dục
7140114",19.0,,,,
11,2016,"Sư phạm Lịch sử (cao đẳng)
51140218",14.0,,,,
12,2016,"Sư phạm Vật lý
7140211",,,,,
13,2016,"Sư phạm Mỹ thuật
51140222",,,,,
14,2016,"Sư phạm Tiếng Anh
51140213",12.0,,,,
15,2016,"Sư phạm Vật lý (cao đẳng)
51140211",24.25,,,,
16,2016,"Sư phạm Lịch sử
7140218",,,,,
17,2016,"Sư phạm Tiếng Anh
51140231",25.25,,,,
18,2016,"Sư phạm Ngữ văn (cao đẳng)
51140217",27.5,,,,
19,2016,"Sư phạm Hóa học (Hóa - Sinh)
51140212",20.0,,,,
20,2016,"Sư phạm Địa lý (cao đẳng)
51140219",22.0,,,,
21,2016,"Sư phạm Toán học (Toán - Tin)
51140209",20.0,,,,
22,2016,"Sư phạm Âm nhạc (cao đẳng)
51140221",27.0,,,,
23,2016,"Sư phạm Tin học (cao đẳng)
51140210",12.0,,,,
24,2016,"Việt Nam học
7220113",19.0,,,,
